# Experiment D: LR sensitivity
probe_epochs=8
lr epoch ppl
0.0001 1 163.94645647152905
0.0001 2 104.25453287744263
0.0001 3 79.94243221706743
0.0001 4 69.35622611326438
0.0001 5 63.493629821831
0.0001 6 59.69481102733528
0.0001 7 57.03458437429033
0.0001 8 55.25266289633435
0.0003 1 81.06278466290904
0.0003 2 59.84035684424807
0.0003 3 53.56073958715083
0.0003 4 50.502346593842134
0.0003 5 48.882565671164656
0.0003 6 47.688609056545054
0.0003 7 46.689942607708474
0.0003 8 45.992687502351345
0.001 1 53.52545417036641
0.001 2 48.50412849897175
0.001 3 45.31872989214185
0.001 4 44.570373811012765
0.001 5 43.36505905725771
0.001 6 42.608894733402494
0.001 7 42.172021110904815
0.001 8 41.386264326338114
